ID,GBM_1,GBM_2,DP_1,GBM_3,GBM_4,GBM_5,GBM_6,GLM_7,GBM_8,GBM_9,DP_2,GBM_10,GBM_11,DRF_1,XRT_1
2357,0.05893,0.01019,0.07727,0.03314,0.15769,0.05037,0.08435,0.13086,0.11498,0.05892,0.06174,0.07889,0.25298,0.13259,0.07148
21350,0.02891,0.24113,0.06059,0.04953,0.12732,0.11688,0.0685,0.14738,0.04678,0.04112,0.02506,0.08367,0.07221,0.04058,0.04202
8643,0.027,1.65939,0.03183,0.71563,0.49874,0.53107,0.5475,0.19479,0.08963,0.25563,0.48546,0.533,0.07775,0.33369,0
13138,0.03888,0.14539,0.05051,0.1849,0.14595,0.08969,0.12917,0.06287,0.17957,0.05929,0.06796,0.21491,0.08105,0.04463,0.03061
7980,0.38564,0.51564,0.31008,0.02871,0.36918,0.23315,0.27146,0.45071,0.25964,0.3418,0.86538,0.04215,0.02549,0.02967,0.37441
20405,0.01911,0.06801,0.09749,0.03512,0.05942,0.05518,0.10098,0.07905,0.05092,0.01443,0.1675,0.05344,0.00806,0.02827,0.05674
10781,0.07506,0.19927,0.11556,0.13903,0.27804,0.14302,0.28472,0.12481,0.17026,0.23981,0.05545,0.32246,0.72568,0.61585,0.11087
9953,0.28892,0.43952,0.25006,0.56213,1.36812,0.93936,0.60297,0.87487,5.43205,46.70139,0.47024,0.52181,2.28472,1.87417,1.35224
7474,0.13287,0.09874,0.12451,0.24097,0.29543,0.07002,0.33598,0.2742,0.21307,0.53958,0.29521,0.42355,1.21503,1.23691,0.53194
10296,0.00529,0.09319,0.1131,0.00422,1.00E-05,0.03279,0.02443,0.0807,0.17213,0.06964,0.1519,0.34468,0.24089,0.34226,0.07799
5466,2.08627,0.24641,0.43856,0.85894,0.03228,0.07341,0.31221,0.50215,0.27235,0.16562,1.05825,0.32921,0.24821,0.06559,0.0402
15838,2.46814,3.31394,0.82744,11.44752,4.53912,1.09559,2.17049,0.6423,6.21886,3.20885,1.22206,1.33057,0.39206,0.55008,0.10399
2509,1.20016,0.16295,3.02135,4.23761,1.42354,0.06957,1.0836,1.99751,0.5039,38.11528,1.14563,1.42375,1.61617,2.09683,0.2198
16608,5.79341,3.79077,0.50046,8.8591,1.92653,0.55508,18.50932,0.56265,12.87105,36.52002,0.34961,41.84126,64.96293,11.72396,0.84984
6304,0.34253,0.22967,0.34383,0.14585,0.04727,0.06483,0.1886,0.31196,0.13176,0.09067,0.74139,0.04173,0.1365,0.12161,0.0749
19193,0.64973,0.78222,1.57755,0.96957,1.5218,0.78918,0.41267,0.6194,0.68671,0.57429,2.17882,0.89614,0.74624,1.26209,0.2907
8801,1.68113,1.60141,8.16263,2.28966,1.36537,0.42564,1.67056,3.65816,1.79152,2.44357,1.62813,0.98776,1.22831,1.37954,0.6952
3939,0.11917,0.37275,0.75533,0.77646,3.42346,3.00441,0.29431,4.0469,1.4328,0.98559,0.30853,2.17038,2.00774,5.85474,0.56949
18284,0.0189,0.12039,0.06608,0.05532,0.12764,0.12093,0.10139,0.09281,0.1288,0.24852,0.11762,0.13658,1.04913,0.6735,0.09484
5621,0.75095,1.02555,1.22591,1.03947,1.24993,0.51801,0.8203,1.35177,0.95114,1.02809,38.82773,0.89487,0.989,1.26239,0.44429
20668,0.08859,0.1204,0.08963,0.11421,0.5682,1.72254,1.67051,0.49812,2.63401,0.24029,0.89653,0.59078,3.46952,8.12035,0.01159
16003,0.04589,0.18778,0.43739,0.09543,0.12835,0.19264,0.02055,0.11829,0.04055,0.37264,0.01136,0.57779,3.86837,1.35409,5.52373
